Date,Title,Source,Keyword
2024-08-17,Blackstone co-founders to get $2.3 billion post IPO - Reuters,Reuters,Turkey central bank
2024-08-18,Londra’da hayvan hakları savunucuları Türkiye’yi protesto etti - Evrensel.net,Google News,protesto Türkiye
2024-08-19,Turkish customs ministry imposes 110 million lira fine on Ziraat Bank - Reuters,Reuters,Turkey president
2024-08-23,"Jerome Powell: Time has come for interest rate cut, says Fed boss - BBC",BBC News,central bank Turkey
2024-08-23,Uzman isim 6 maddede döviz krizi yaratabilecek riskleri yazdı - Bizim Tv,Google News,döviz krizi
2024-08-23,"Jerome Powell: Time has come for interest rate cut, says Fed boss - BBC",BBC News,interest rate Turkey
2024-08-23,"Jerome Powell: Time has come for interest rate cut, says Fed boss - BBC",BBC News,inflation Turkey
2024-08-27,Batı Afrika'da 'darbe kuşağı': Mali'de ordunun yönetime el koyması bölgeyi nasıl değiştirdi? - Mepa News,Google News,askeri darbe girişimi
2024-09-04,İstanbul’da Filistin panelinde protesto düzenleyen Filistinli iki öğrenci hakkında sınırdışı kararı - VOA Türkçe,Google News,protesto Türkiye
2024-09-04,Mustafa Kemal’in askerleri... - Milliyet,Google News,askeri darbe girişimi
2024-09-04,Ukraine's foreign minister resigns as government reshuffle expected - BBC,BBC News,cabinet reshuffle
2024-09-05,Ukraine names new foreign minister as Zelensky overhauls cabinet - BBC,BBC News,cabinet reshuffle
2024-09-06,US-Turkish protester killed in West Bank as Israeli forces open fire - BBC,BBC News,central bank Turkey
2024-09-07,Aysenur Ezgi Eygi: UN urges inquiry into killing of US-Turkish protester in West Bank - BBC,BBC News,central bank Turkey
2024-09-10,Türkiye genelinde Narin eylemleri: Aile politikalarına tepki - DW,Google News,protesto Türkiye
2024-09-10,Aysenur Ezgi Eyg: Israel says 'highly likely' IDF killed US-Turkish protester - BBC,BBC News,central bank Turkey
2024-09-10,"Türkiye 13 yıl sonra Arap Birliği bakanlar toplantısına katıldı, Suriye Fidan’ın konuşmasını protesto etti - VOA Türkçe",Google News,protesto Türkiye
2024-09-10,"Türkiye 13 yıl sonra Arap Birliği bakanlar toplantısına katıldı, Suriye Fidan’ın konuşmasını protesto etti - VOA Türkçe",Google News,protesto Türkiye
2024-09-11,Welsh government reshuffle: Miles back as minister after ousting Gething - BBC,BBC News,cabinet reshuffle
2024-09-12,12 Eylül Askeri Darbesiyle Gerçek Anlamda Yüzleşme Talep Ediyoruz! - Diyarbakır Barosu,Google News,askeri darbe girişimi
2024-09-14,Funeral held for US-Turkish activist killed in West Bank - BBC,BBC News,central bank Turkey
2024-09-14,Özel'den Erdoğan'a erken seçim çağrısı: Son tarih 2025 Kasım'dır - Euronews.com,Google News,Türkiye seçimi
2024-09-16,7 Haziran seçimleri: Türkiye'de 1 Kasım 2015 seçimlerine giden süreçte ve sonrasında neler yaşandı? - BBC,Google News,Türkiye seçimi
2024-09-18,Ermenistan’da ‘askeri darbe girişimi’ iddiası - Harici,Google News,askeri darbe girişimi
2024-09-18,"Ertuğrul Özkök: ""Darbe"" kelimesi Dışişleri sözlüğünden Sevgililer Günü'nde mi çıkarıldı? - T24",Google News,askeri darbe girişimi
2024-09-19,Ermenistan'da darbe hazırlığı ile suçlanan 3 kişi gözaltına alındı - Euronews.com,Google News,askeri darbe girişimi
2024-09-20,"Yerel seçimler hakkında bilinmesi gerekenler: Nasıl yapılır, kimler seçilir? - BBC",Google News,Türkiye seçimi
2024-09-26,Gökhan ALTINER Yazdı: Yıl sonuna kadar kabine değişikliği yok... - Kıbrıs Postası,Google News,kabine değişikliği
2024-09-27,Türk heyetten soykırımcı Netanyahu'nun BM'deki hitabına protesto - TRT Haber,Google News,protesto Türkiye
2024-09-30,"Lebanese arrive in Turkey shaken by war, hope for quick return - Reuters",Reuters,Turkey president
2024-10-03,Britain proposes new powers for banks in fight against fraudsters - Reuters,Reuters,Turkey central bank
2024-10-04,How worried should I be about rising oil prices? - BBC,BBC News,interest rate Turkey
2024-10-05,İkbal Uzuner ve Ayşenur Halil'in öldürülmesi üniversitelerde protesto edildi - BBC,Google News,protesto Türkiye
2024-10-12,Erdoğan'dan kabine değişikliği sinyali - halk54.com,Google News,kabine değişikliği
